# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 5.00000000e+00
# Aref          : 5.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.678571        	2.47474341e+00	1.23737171e+00	1.23737171e+00	3.63152054e-04	5.59340707e-05	3.07217984e-04	-1.25641956e-04	5.15973584e-20	1.47683970e-19	1.72048888e-19	2.33708413e-19	-6.16595258e-20
0.714286        	2.43182230e+00	1.21591115e+00	1.21591115e+00	3.11759647e-04	4.10416333e-05	2.70718013e-04	-1.14838190e-04	5.81473433e-20	1.47910200e-19	1.85210428e-19	2.40515414e-19	-5.53049859e-20
0.75            	2.39125016e+00	1.19562508e+00	1.19562508e+00	3.19789772e-04	5.26786247e-05	2.67111147e-04	-1.07216261e-04	6.39262756e-20	1.46687429e-19	1.94039234e-19	2.43707045e-19	-4.96678118e-20
0.785714        	2.35326736e+00	1.17663368e+00	1.17663368e+00	2.70651830e-04	3.28687343e-05	2.37783096e-04	-1.02457181e-04	8.50493343e-20	1.42622389e-19	2.37071326e-19	2.61158052e-19	-2.40867258e-20
0.821429        	2.31749133e+00	1.15874567e+00	1.15874567e+00	2.45877243e-04	2.65840538e-05	2.19293189e-04	-9.63545676e-05	1.07069455e-19	1.38323925e-19	2.79329869e-19	2.77988859e-19	1.34100941e-21
0.857143        	2.28381863e+00	1.14190932e+00	1.14190932e+00	2.28683198e-04	2.32622032e-05	2.05420995e-04	-9.10793960e-05	1.26787891e-19	1.33781422e-19	3.15134641e-19	2.91348743e-19	2.37858981e-20
0.892857        	2.25187217e+00	1.12593608e+00	1.12593608e+00	2.06134734e-04	1.73616383e-05	1.88773096e-04	-8.57057289e-05	1.45191357e-19	1.30151996e-19	3.48945373e-19	3.04624682e-19	4.43206906e-20
0.928571        	2.22201899e+00	1.11100950e+00	1.11100950e+00	1.97732764e-04	1.82261787e-05	1.79506585e-04	-8.06402031e-05	1.62865620e-19	1.26922637e-19	3.79994002e-19	3.16919638e-19	6.30743641e-20
0.964286        	2.19335208e+00	1.09667604e+00	1.09667604e+00	1.75957240e-04	1.16964937e-05	1.64260746e-04	-7.62821263e-05	1.79115035e-19	1.24043831e-19	4.08947754e-19	3.28517708e-19	8.04300457e-20
1               	2.16648089e+00	1.08324045e+00	1.08324045e+00	1.44108039e-04	-1.05964696e-06	1.45167686e-04	-7.31136667e-05	1.94524538e-19	1.21234595e-19	4.36203408e-19	3.39336299e-19	9.68671085e-20
1.03571         	2.14109666e+00	1.07054833e+00	1.07054833e+00	1.62973797e-04	1.28739421e-05	1.50099855e-04	-6.86129562e-05	2.09049846e-19	1.18700320e-19	4.62533886e-19	3.49967263e-19	1.12566623e-19
1.07143         	2.11678594e+00	1.05839297e+00	1.05839297e+00	1.47138285e-04	8.41621629e-06	1.38722069e-04	-6.51529261e-05	2.22111257e-19	1.16629092e-19	4.88585776e-19	3.60921980e-19	1.27663796e-19
1.10714         	2.09410117e+00	1.04705058e+00	1.04705058e+00	1.23626890e-04	6.09010529e-07	1.23017879e-04	-6.12044342e-05	2.35393210e-19	1.14190438e-19	5.12688280e-19	3.70534578e-19	1.42153702e-19
1.14286         	2.07245078e+00	1.03622539e+00	1.03622539e+00	1.29305316e-04	6.29431059e-06	1.23011005e-04	-5.83583473e-05	2.48304740e-19	1.12132134e-19	5.36791390e-19	3.80527830e-19	1.56263561e-19
1.17857         	2.05171585e+00	1.02585792e+00	1.02585792e+00	1.13854237e-04	2.01126782e-06	1.11842969e-04	-5.49158504e-05	2.61107184e-19	1.10377886e-19	5.60874065e-19	3.90814919e-19	1.70059147e-19
1.21429         	2.03221602e+00	1.01610801e+00	1.01610801e+00	1.12141409e-04	3.73041327e-06	1.08410996e-04	-5.23402912e-05	2.73686196e-19	1.08084284e-19	5.82510655e-19	3.99339611e-19	1.83171043e-19
1.25            	2.01379504e+00	1.00689752e+00	1.00689752e+00	1.03869741e-04	2.69249488e-06	1.01177246e-04	-4.92423754e-05	2.73927862e-19	1.07905099e-19	5.81574693e-19	3.98692446e-19	1.82882248e-19
1.28571         	1.99631151e+00	9.98155754e-01	9.98155754e-01	1.02596403e-04	4.21714312e-06	9.83792599e-05	-4.70810584e-05	2.62647834e-19	1.10024062e-19	5.59448711e-19	3.89748417e-19	1.69700293e-19
1.32143         	1.97959557e+00	9.89797786e-01	9.89797786e-01	9.76523554e-05	4.65594267e-06	9.29964128e-05	-4.41702351e-05	2.53252573e-19	1.11692206e-19	5.41298259e-19	3.82341336e-19	1.58956923e-19
1.35714         	1.96397510e+00	9.81987550e-01	9.81987550e-01	1.00520903e-04	8.13028396e-06	9.23906191e-05	-4.21301676e-05	2.45149402e-19	1.12957304e-19	5.25755114e-19	3.75834861e-19	1.49920253e-19
1.39286         	1.94878951e+00	9.74394755e-01	9.74394755e-01	8.88210108e-05	4.34396251e-06	8.44770483e-05	-4.00665429e-05	2.37737900e-19	1.14153797e-19	5.12271657e-19	3.70289626e-19	1.41982031e-19
1.42857         	1.93453387e+00	9.67266935e-01	9.67266935e-01	8.82870821e-05	6.60752518e-06	8.16795569e-05	-3.75360159e-05	2.31180345e-19	1.15080408e-19	5.00074940e-19	3.65117878e-19	1.34957062e-19
1.46429         	1.92102586e+00	9.60512932e-01	9.60512932e-01	9.25635665e-05	1.04026287e-05	8.21609378e-05	-3.58791545e-05	2.24980803e-19	1.15768241e-19	4.87773936e-19	3.59655210e-19	1.28118727e-19
1.5             	1.90809607e+00	9.54048035e-01	9.54048035e-01	8.85531909e-05	9.56062214e-06	7.89925687e-05	-3.47159733e-05	2.18946774e-19	1.16281807e-19	4.75927664e-19	3.54245639e-19	1.21682025e-19
